Sequence no,School name,City,Zipcode,Arizona Ranking ,National ranking,Total students,English score % (proficient),Maths score% (proficient),Student-teacher ratio,Drop-out rate %,Total incidents of violence
160,Campo Verde High School,Gilbert,85297,29,2055,1986,42,29,24.7:1,1.26,6
161,Higley High School,Gilbert,85295,35,2426,2137,44,33,24.1:1,0.65,5
162,Perry High School,Gilbert,85297,39,2559,2805,45,33,22.6:1,2.75,21
163,Highland High School,Gilbert,85234,48,3086,3168,39,26,23:1,2.06,17
164,Williams Field High School,Gilbert,85236,51,3291,2115,38,31,28.7:1,1.05,6
165,Gilbert High School,Gilbert,85234,97,5936,2350,33,26,21.4:1,2.56,13
166,Great Hearts Academies - Arete Prep,Gilbert,85234,107,6297,559,44,30,N/A,0.33,0
167,American Leadership Academy Gilbert North K-12,Gilbert,85296,116,6698,2475,44,34,N/A,2.76,N/A
168,Leading Edge Academy Gilbert Early College,Gilbert,85233,163,9286,219,29,25,N/A,12.69,0
169,Eduprize School Gilbert,Gilbert,85233,167,9528,1415,40,32,N/A,1.52,10
170,San Tan Charter School,Gilbert,85234,168,9552,868,41,26,N/A,1.48,0
171,Mesquite High School,Gilbert,85233,171,9788,1425,33,21,22.6:1,3.54,25
172,Arizona Connections Academy,Gilbert,85297,182,10299,2568,30,14,N/A,13.63,0
173,GPS Global Academy,Gilbert,85296,195,10990,385,42,25,N/A,4.95,0
174,Learning Foundation and Performing Arts Gilbert,Gilbert,85296,237,13261,396,29,12,N/A,0.92,0
175,Desert Hills High School,Gilbert,85296,N/A,N/A,264,14,7,N/A,17.16,6
176,Freedom Prep Academy - Mesa,Gilbert,85234,N/A,N/A,160,26,10,N/A,1.94,N/A
177,Higley Virtual Academy ,Gilbert,85295,N/A,N/A,124,38,40,24.01:1,0.44,N/A
178,Leading Edge Academy Online,Gilbert,85296,N/A,N/A,230,22,9,N/A,5.68,0
179,Tempe Preparatory Academy,Tempe,85282,22,1377,443,50,33,N/A,N/A,0
180,Corona Del Sol High School,Tempe,85284,66,4167,2730,39,25,24.2:1,0.84,48
181,Asu Preparatory Academy Digital,Tempe,85281,108,6321,3457,39,22,N/A,9.88,0
182,BASIS Scottsdale,Scottsdale,85259,2,20,993,53,30,N/A,0,0
183,Desert Mountain High School,Scottsdale,85259,21,"1,215",1880,38,30,23.1:1,1,26
184,Cactus Shadows High School,Scottsdale,85266,30,"2,093",1587,44,31,25.9:1,1.38,8
185,Chaparral High School,Scottsdale,85253,34,"2,385",2038,41,27,23.5:1,0.47,26
186,Saguaro High School,Scottsdale,85250,42,"2,683",1466,34,28,21.1:1,0.99,19
187,Great Hearts Academies - Scottsdale Prep,Scottsdale,85260,54,"3,532",875,31.16,36.84,N/A,6.99,0
188,Horizon High School,Scottsdale,85254,77,"4,862",1912,41,30,26.1:1,0.99,21
189,Coronado High School,Scottsdale,85257,196,"11,001",740,25,22,17.4:1,2.39,19
190,Scottsdale Online Learning,Scottsdale,85257,237,"13,261",244,31,14,8.7:1,10.88,0
191,Cave Creek Academy Of Excellence,Scottsdale,85266,N/A,N/A,21,N/A,N/A,N/A,4,N/A
192,Great Hearts Academies - Cicero Prep,Scottsdale,85258,N/A,N/A,502,51,31,N/A,6.5,0
193,Salt River Accelerated Learning Academy,Scottsdale,85256,N/A,N/A,74,14,0,N/A,36.97,0
194,West-Mec - Horizon High School,Scottsdale,85254,N/A,N/A,1912,41,30,N/A,0.99,21
195,Mcclintock High School,Tempe,85282,123,"6,994",1947,24,22,20:0,3.66,74
196,Tempe Preparatory Academy,Tempe,85382,46,"3,090",443,50,33,N/A,0,0
197,Asu Preparatory Academy Digital,Tempe,85281,93,"5,684",3457,39,22,N/A,9.88,0
198,New School for the Arts,Tempe,85281,176,"10,443",204,37,33,N/A,2.58,0
199,Tempe High School,Tempe,85281,234,"12,952",1582,25,20,20.5:1,3.91,37
200,Corona Del Sol High School,Tempe,85284,59,"3,581",2730,39,25,24.2:1,0.84,48
201,James Madison Preparatory School,Tempe,85283,117,"6,687",156,32,13,N/A,0,0
202,Marcos De Niza High School,Tempe,85283,201,"11,467",1517,25,15,19.0:1,3.92,85
203,Tapbi,Tempe,85283,239,"13,242",198,33,19,N/A,2.81,0
204,Sedona Red Rock High School,Sedona,86336,158,"9,206",481,20,9,18.5:1,6.31,2
205,Red Rock Academy,Sedona,86336,N/A,N/A,N/A,N/A,N/A,50:1,21.43,0
